REFERENCE,SPECIES,ISLAND,POINT_Y,POINT_X,RESERVE,TYPE,LOCALITY,ELEV_FT,ACC,DATE_,YEAR,RECENT,CODE,M,F,NUM,COLLECTOR,COLLECTION,NOTES,RECHECKED,GROUP,SUBGROUP,Duplicate,WAYPOINT,ZONE,BAND,EASTING,NORTHING,N,W,ORDER_WITH,ORDER_OVER,TAXONOMIC_,BY_ENTERED,BY_NAME
KYK database,inedita,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,Puu Pane,,,3/7/71,1971,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2535,1994
KYK database,inedita,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,Puu Pane,,,6/14/91,1991,Y,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2547,2009
KYK database,inedita,Oahu,21.51966073,-158.1229192,Mt. Kaala,NAR,Alaiheihe Gulch,,,5/24/70,1970,N,P026,,,,,,locality misspelled as Alaheihe Gulch,,grimshawi,distinguenda,,,,,,,,,,,,2524,1987
KYK database,inedita,Oahu,21.52043,-158.10949,,private,Puu Pane,,,3/27/70,1970,N,P015,,,,,,Puulu,,grimshawi,distinguenda,,,,,,,,,,,,2523,1986
KYK database,inedita,Oahu,21.52261,-158.17128,Mokuleia,FR,Makaleha Valley,,,1/28/70,1970,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2520,1984
"Montgomery, 1975",inedita,Oahu,21.52261,-158.17128,Mokuleia,FR,Makaleha,2200,,12/7/69,1969,N,M83,1,,1,,ex Charpentiera stem,,,grimshawi,distinguenda,,,,,,,,,,,,533,1981
KYK database,inedita,Oahu,21.5231,-158.11965,Mt. Kaala,NAR,Puu Pane,,,3/27/70,1970,N,P015,,,,,,Kaimuhole,,grimshawi,distinguenda,,,,,,,,,,,,2521,1985
UHH,inedita,Oahu,21.52334659,-158.1259128,Mt. Kaala,NAR,Manuwai Gulch,1500,A,3/1/11,2011,Y,m0374-03,2,4,6,KNM,on bait sponge,,,grimshawi,distinguenda,,Manuwai Reyn,4,Q,590525.0024,2380322.98,21.52334659,-158.1259128,1618,27,5,3848,2028
OANRP,inedita,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,2/11/14,2014,Y,ANU-A,,,2,,,,,grimshawi,distinguenda,,,,,590525.0024,2380322.98,,,,,,4323,2054
OANRP,inedita,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,2/12/14,2014,Y,ANU-A,,,2,,,,,grimshawi,distinguenda,,,,,590525.0024,2380322.98,,,,,,4324,2055
OANRP,inedita,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,2/13/14,2014,Y,ANU-A,,,2,,,,,grimshawi,distinguenda,,,,,590525.0024,2380322.98,,,,,,4325,2056
OANRP,inedita,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,5/14/14,2014,Y,ANU-A,,,5,,,,,grimshawi,distinguenda,,,,,590525.0024,2380322.98,,,,,,4338,2069
OANRP,inedita,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,5/15/14,2014,Y,ANU-A,,,5,,,,,grimshawi,distinguenda,,,,,590525.0024,2380322.98,,,,,,4339,2070
OANRP,inedita,Oahu,21.5233466,-158.1259128,Kaala,NAR,Manuwai east,1500,A,6/16/15,2015,Y,ANU-A,,,2,,,,,grimshawi,distinguenda,,,,,590525.0024,2380322.98,,,,,,4377,2108
OANRP,inedita,Oahu,21.5265512,-158.17135,Mokuleia,FR,West Makaleha,1800,A,6/13/13,2013,Y,LEH-B,,,1,,,,,grimshawi,distinguenda,,,,,585817.1594,2380652.04,,,,,,4300,2031
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,1800,,7/3/68,1968,N,L088,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2511,1973
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,7/11/68,1968,N,L092,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2512,1974
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,12/29/68,1968,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2513,1975
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,4/7/69,1969,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2514,1976
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,4/26/69,1969,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2515,1977
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,5/7/69,1969,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2516,1978
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,6/30/69,1969,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2517,1979
KYK database,inedita,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,1/6/72,1972,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2542,2003
UHH,inedita,Oahu,21.53337839,-158.1763628,Pahole,NAR,Mokuleia Trail,2050,A,2/21/10,2010,Y,m0216-01,1,3,4,KNM,on bait sponge,,,grimshawi,distinguenda,,Pahole Pisbru,4,Q,585294.0077,2381404.977,21.53337839,-158.1763628,1039,17,47,223,2019
OANRP,inedita,Oahu,21.5362059,-158.1895447,Pahole,NAR,Pahole Gulch 2 upper,2000,A,9/16/13,2013,Y,PAH-B,,,1,,,,,grimshawi,distinguenda,,,,,583927.2204,2381710.797,,,,,,4307,2038
OANRP,inedita,Oahu,21.5362059,-158.1895447,Pahole,NAR,Pahole Gulch 2 upper,2000,A,10/8/13,2013,Y,PAH-B,,,1,,,,,grimshawi,distinguenda,,,,,583927.2204,2381710.797,,,,,,4310,2041
KYK database,inedita,Oahu,21.53732,-158.19045,Pahole,NAR,Peacock Flat,,,3/21/71,1971,N,P76,,,,,,Pahole gulch,,grimshawi,distinguenda,y,,,,,,,,,,,2536,1996
"Montgomery, 1975",inedita,Oahu,21.53732,-158.19045,Pahole,NAR,Mokuleia,2000,,3/21/71,1971,N,P76,,6,6,,ex Pisonia stems,,,grimshawi,distinguenda,,,,,,,,,,,,537,1995
UHH,inedita,Oahu,21.54089738,-158.1940128,Makua,MR,Kahanahaiki,1950,A,2/19/10,2010,Y,m0212-01,,3,3,KNM,on bait sponge,,,grimshawi,distinguenda,,Kaha2,4,Q,583461.8233,2382227.695,21.54089738,-158.1940128,1015,17,23,220,2018
UHH,inedita,Oahu,21.54103258,-158.1882031,Pahole,NAR,Pahole Gulch,1700,A,3/27/10,2010,Y,m0238-03,2,,2,KNM,upper sponges,,,grimshawi,distinguenda,,Pahole Sponge5,4,Q,584063.379,2382245.779,21.54103258,-158.1882031,1138,19,22,261,2026
OANRP,inedita,Oahu,21.541469,-158.185631,Pahole,NAR,Pahole Gulch 5,1900,A,6/8/15,2015,Y,PAH-E,,,5,,,,,grimshawi,distinguenda,,,,,584329.4885,2382295.474,,,,,,4374,2105
UHH,inedita,Oahu,21.54404554,-158.1882936,Mokuleia,FR,Pahole Gulch,1500,A,3/27/10,2010,Y,m0236-02,2,1,3,KNM,lower sponges,,,grimshawi,distinguenda,,Pahole Sponge2,4,Q,584052.2696,2382579.229,21.54404554,-158.1882936,1124,19,8,256,2025
KYK database,inedita,Oahu,21.54405,-158.18829,Pahole,NAR,Peacock Flat,,,7/31/78,1978,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2545,2007
KYK database,inedita,Oahu,21.55059,-158.2094,Mokuleia,FR,Mokuleia Jeep Road,,,6/5/71,1971,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2538,1998
KYK database,inedita,Oahu,21.55120812,-158.2082904,Mokuleia,FR,Mokuleia Jeep Road,,,3/26/71,1971,N,,,,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2537,1997
KYK database,inedita,Oahu,21.551468,-158.211826,Mokuleia,FR,Mokuleia Jeep Road,,,6/6/71,1971,N,P095,,1,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2540,2000
KYK database,inedita,Oahu,21.55182227,-158.2052497,Mokuleia,FR,Mokuleia Jeep Road,,,6/6/71,1971,N,P094,,1,,,,,,grimshawi,distinguenda,,,,,,,,,,,,2539,1999
OANRP,inedita,Oahu,21.5518223,-158.2052496,Kuaokala,FR,"Kealia, Kawaiu",1450,A,12/18/13,2013,Y,LIA-B,,,1,,,,,grimshawi,distinguenda,,,,,582292.0045,2383430.978,,,,,,4318,2049
"Montgomery, 1975",inedita,Oahu,21.56044,-157.98347,Kawailoa,TA,Opaeula,1300,,7/16/70,1970,N,,1,1,2,,ex Pisonia wood and bark,,,grimshawi,distinguenda,,,,,,,,,,,,536,1989
"Hardy & Kaneshiro, 1971",ingens,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,4000,,7/9/68,1968,N,,5,,5,KYK,paratypes,,,planitibia,cyrtoloma,,,,,,,,,,,,1451,2112
"Hardy & Kaneshiro, 1971",ingens,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,4000,,8/13/69,1969,N,M66,1,,1,KYK,holotype,,,planitibia,cyrtoloma,,,,,,,,,,,,1450,2118
KYK database,ingens,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,7/9/68,1968,N,,,,,,,,,planitibia,cyrtoloma,y,,,,,,,,,,,2553,2113
KYK database,ingens,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,8/14/69,1969,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2556,2119
KYK database,ingens,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,6/11/86,1986,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2561,2124
KYK database,ingens,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,4/29/87,1987,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2562,2125
UHH,ingens,Maui,20.84459525,-156.5551345,West Maui,FR,"Hanaula, Pohakea Gulch",4100,A,5/28/11,2011,Y,m0407-01,,1,1,KNM,on bait sponge,,,planitibia,cyrtoloma,,Hanaula,4,Q,754412.0911,2306881.011,20.84459525,-156.5551345,1781,29,44,3876,2130
"Hardy & Kaneshiro, 1971",ingens,Maui,20.92281668,-156.6012124,Puu Kukui Preserve,MLP,Haelaau,,,7/31/68,1968,N,M3C11,,1,1,JPM,allotype,,,planitibia,cyrtoloma,,,,,,,,,,,,1452,2114
UHH,ingens,Maui,20.92281668,-156.6012124,Puu Kukui Preserve,MLP,Puu Kukui Trail,3650,A,8/18/09,2009,Y,m0107-02,1,,1,KNM,on bait sponge,,,planitibia,cyrtoloma,,PK GRIM,4,Q,749485.7561,2315471.38,20.92281668,-156.6012124,522,9,26,118,2129
KYK database,ingens,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/20/71,1971,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2557,2120
KYK database,ingens,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/8/97,1997,Y,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2564,2127
UHH,ingens,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui trail,3090,A,6/5/09,2009,Y,m0040-02,1,,1,KNM,on bait sponge,,,planitibia,cyrtoloma,,PKPLANI,4,Q,748485.5566,2316365.726,20.93102549,-156.6106948,171,3,47,21,2128
"Hardy & Kaneshiro, 1971",ingens,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/16/69,1969,N,,1,,1,KYK,paratypes,,,planitibia,cyrtoloma,,,,,,,,,,,,1453,2117
KYK database,ingens,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,8/1/68,1968,N,,,,,,,duplicate database entries under both ingens and melanocephala,,planitibia,cyrtoloma,,,,,,,,,,,,2554,2115
KYK database,ingens,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/15/69,1969,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2555,2116
KYK database,ingens,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/5/73,1973,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2558,2121
KYK database,ingens,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,9/26/73,1973,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2559,2122
KYK database,ingens,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/14/83,1983,N,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2560,2123
KYK database,ingens,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,6/27/95,1995,Y,,,,,,,,,planitibia,cyrtoloma,,,,,,,,,,,,2563,2126
UHH,kikiko,Kauai,22.13160748,-159.660392,Kokee,SP,Nualolo Trail,3800,A,1/23/10,2010,Y,m0198-03,1,1,2,KNM,on bait sponge,,,grimshawi,aglaia,,Nua crest,4,Q,431895.7644,2447542.045,22.13160748,-159.660392,949,16,19,207,2133
UHH,kikiko,Kauai,22.13160748,-159.660392,Kokee,SP,Nualolo Trail,3800,A,7/25/10,2010,Y,m0324-01,,2,2,DDK,on bait sponge,"attempted to rear in the lab, died 13 Aug, one pinned",,grimshawi,aglaia,,Nua crest,4,Q,431895.7644,2447542.045,22.13160748,-159.660392,1446,24,20,301,2134
UHIM,kikiko,Kauai,22.13160748,-159.660392,Kokee,SP,Kokee,3600,C,6/22/64,1964,N,C99.25,,1,1,HLC,,,,grimshawi,aglaia,,,,,,,,,,,,1514,2131
UHH,kikiko,Kauai,22.13732243,-159.7011931,Kuia,NAR,Mahanaloa-Kuia Val. jct.,1900,A,6/23/09,2009,Y,m0062-01,,1,1,KNM,on bait sponge,"wing elongate, R4+5 spot isolated, apex of R2+3 well anterior of apex of M, last section of M twice as long as penultimate section; wing marks similar to aglaia",,grimshawi,aglaia,,35,4,Q,427690.8498,2448193.491,22.13732243,-159.7011931,262,5,14,45,2132
Price/Yew/Medeiros,kikiko,Kauai,22.141,-159.66,Kokee,,,,,30-Sep-19,,,,,,,,,,,grimshawi,aglaia,,,,,,,,,,,,,
"Montgomery, 1975",kinoole,Oahu,21.46649968,-158.1027962,Honouliuli,FR,Puu Hapapa,1800,,11/21/71,1971,N,,,1,1,,ex Urera sandwicensis bark; originally IDed as aglaia,,,grimshawi,aglaia,,,,,,,,,,,,446,2135
OANRP,kinoole,Oahu,21.4990138,-158.1532854,Waianae Kai,FR,"Waianae Kai, Kumaipo gulch 4",2200,A,1/30/14,2014,Y,WAI-B,,,1,,,,,grimshawi,aglaia,,,,,587704.5857,2377613.998,,,,,,4381,2136
OANRP,kinoole,Oahu,21.4990138,-158.1532854,Waianae Kai,FR,"Waianae Kai, Kumaipo gulch 4",2200,A,2/19/14,2014,Y,WAI-B,,,2,,,,,grimshawi,aglaia,,,,,587704.5857,2377613.998,,,,,,4382,2137
UHIM,lanaiensis,Maui,20.67779,-156.1362,Haleakala,NP,Kaupo Gap,3700,,6/18/75,1975,N,,,,15,V. Baimai,,"number uncertain (noted as ""lots"")",,grimshawi,lanaiensis,,,,,,,,,,,,1519,2151
BPBM,lanaiensis,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,9/22/66,1966,N,J31C1,1,2,3,J.P. Murphy,,"three virgulata paratypes, only one in good condition; one female teneral, male heavily greased and with front legs damaged",,grimshawi,lanaiensis,y,,,,,,,,,,,3929,2143
"Hardy & Kaneshiro, 1968",lanaiensis,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/1/58,1958,N,,,1,1,,originally included in paratype series of disjuncta,,,grimshawi,lanaiensis,,,,,,,,,,,,799,2141
"Hardy & Kaneshiro, 1968",lanaiensis,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,9/22/66,1966,N,J31C1,7,9,16,,type series of virgulata,,,grimshawi,lanaiensis,,,,,,,,,,,,798,2142
UHH,lanaiensis,Lanai,20.81395,-156.8795333,Lanai Company,private,ravine by Hii well,2400,A,3/29/10,2010,Y,m0247-01,1,,1,A. Hoikkala,on bait sponge,,,grimshawi,lanaiensis,,Waiapaa,4,Q,720687.4,2303008.7,20.81395,-156.8795333,1164,19,48,264,2140
KYK database,lanaiensis,Maui,20.82456,-156.55294,West Maui,FR,Manawainui Gulch,,,4/12/71,1971,N,P83,,,,,,,,grimshawi,lanaiensis,y,,,,,,,,,,,2568,2147
KYK database,lanaiensis,Maui,20.82456,-156.55294,West Maui,FR,Manawainui Gulch,,,7/21/71,1971,N,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2571,2150
"Montgomery, 1975",lanaiensis,Maui,20.82456,-156.55294,West Maui,FR,Hanaula,2800,,4/12/71,1971,N,P83,,,46,,ex Charpentiera wood,elevations for all lower Hanaula sites seem to be way off,,grimshawi,lanaiensis,,,,,,,,,,,,699,2146
KYK database,lanaiensis,Lanai,20.82598,-156.8914,Lanai Company,private,Lanaihale,,C,2/20/82,1982,N,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2566,2139
KYK database,lanaiensis,Lanai,20.82662,-156.89545,Lanai Company,private,Kaiholena Gulch,,,6/6/71,1971,N,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2565,2138
UHH,lanaiensis,Maui,20.82854,-156.27196,Makawao,FR,"Makawao FR, nr. reservoir",2900,A,3/11/10,2010,Y,m0227-01,,1,1,DDK,on bait sponge,,,grimshawi,lanaiensis,,,4,Q,783925,2305577,20.82854,-156.27196,1097,18,43,239,2155
KYK database,lanaiensis,Maui,20.83590589,-156.5549128,West Maui,FR,Pohakea Gulch,,,4/13/71,1971,N,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2569,2148
UHH,lanaiensis,Maui,20.85795,-156.55323,Waikapu,private,Waikapu Valley,,,5/1/11,2011,Y,m0416-02,6,16,22,SLM,at baits,,,grimshawi,lanaiensis,,,,,,,,,1830,30,31,3867,2156
UHH,lanaiensis,Maui,20.85795,-156.55323,Waikapu,private,"Waikapu, side stream",2000,,10/15/11,2011,Y,m0453-01,2,3,5,KNM,on rotten Charpentiera,,,grimshawi,lanaiensis,,,,,,,,,,,,3970,2157
UHH,lanaiensis,Maui,20.85795,-156.55323,Waikapu,private,Waikapu Valley,1700,,10/16/11,2011,Y,m0462-01,,2,2,KNM,in passive trap,,,grimshawi,lanaiensis,,,,,,,,,,,,3977,2158
KYK database,lanaiensis,Maui,20.88801,-156.54618,West Maui,FR,Iao Valley,,,7/24/98,1998,Y,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2573,2153
UHH,lanaiensis,Maui,20.88801,-156.54618,West Maui,FR,Iao Valley,1200,,3/10/10,2010,Y,m0226-01,1,,1,DDK,on bait sponge,,,grimshawi,lanaiensis,,,,,,,20.88801,-156.54618,1096,18,42,238,2154
KYK database,lanaiensis,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/20/71,1971,N,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2570,2149
KYK database,lanaiensis,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/8/97,1997,Y,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2572,2152
KYK database,lanaiensis,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,8/1/68,1968,N,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2567,2144
"Montgomery, 1975",lanaiensis,Maui,20.95237,-156.54394,West Maui,FR,Makamakaole,1200,,4/11/71,1971,N,P82,,,29,,ex Charpentiera stem,,,grimshawi,lanaiensis,,,,,,,,,,,,698,2145
KYK database,lanaiensis,Molokai,21.08428598,-156.8505285,,private,East Ohia Gulch,,,1/24/73,1973,N,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2574,2159
KYK database,lanaiensis,Molokai,21.15189,-156.96592,Molokai,FR,Puu Kauwa Road,,,3/25/99,1999,Y,,,,,,,,,grimshawi,lanaiensis,,,,,,,,,,,,2575,2160
KYK database,lasiopoda,Maui,20.64255,-156.34259,Ulupalakua Ranch,private,Auwahi,,,7/25/66,1966,N,J010,,1,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1067,2163
"Hardy & Kaneshiro, 1975",lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,4200,B,9/1/65,1965,N,,3,1,4,KYK,paratypes,,,grimshawi,hawaiiensis,,,,,,,,,,,,1484,2161
"Hardy & Kaneshiro, 1975",lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,4200,B,2/22/67,1967,N,J066,,1,1,JPM,allotype,,,grimshawi,hawaiiensis,,,,,,,,,,,,1483,2168
"Hardy & Kaneshiro, 1975",lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,4200,B,10/1/67,1967,N,,4,1,5,JPM,paratypes,,,grimshawi,hawaiiensis,,,,,,,,,,,,1485,2172
"Hardy & Kaneshiro, 1975",lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,4200,B,10/14/67,1967,N,,1,,1,HLC,holotype,,,grimshawi,hawaiiensis,,,,,,,,,,,,1482,2174
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,11/11/65,1965,N,G013,1,,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1066,2162
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,9/6/66,1966,N,J030,,1,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1068,2164
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/29/67,1967,N,K029,,1,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1073,2169
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/31/67,1967,N,K025,,2,2,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1072,2170
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/23/67,1967,N,K039,,2,2,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1074,2171
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/12/67,1967,N,K075,,10,10,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1075,2173
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/24/67,1967,N,K083,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1076,2175
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/7/69,1969,N,M038,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1078,2177
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/21/70,1970,N,P045,1,,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1079,2178
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,4/15/71,1971,N,P086,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1080,2179
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/9/71,1971,N,Q052,,,33,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1081,2180
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/16/74,1974,N,S094,,3,3,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1082,2181
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,8/4/83,1983,N,W044,,1,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1083,2182
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,11/10/67,1967,N,K089,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1077,2176
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Heed Trail",,A,1/14/94,1994,Y,Y104,,4,4,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1084,2183
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Murphy/Kaneshiro Trail, Dry Site",,B,11/25/66,1966,N,J044,,,,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1069,2165
KYK database,lasiopoda,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Murphy/Kaneshiro Trail, Dry Site",,B,11/30/66,1966,N,J047,1,4,5,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1070,2166
KYK database,lasiopoda,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,1/23/67,1967,N,J057,,1,1,,,,,grimshawi,hawaiiensis,,,,,,,,,,,,1071,2167
KYK database,limitata,Maui,20.64255,-156.34259,Ulupalakua Ranch,private,Auwahi,,,4/21/72,1972,N,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,2586,2201
KYK database,limitata,Maui,20.68575464,-156.0783637,Haleakala,NP,Kipahulu Valley,,C,8/7/67,1967,N,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,2580,2194
KYK database,limitata,Maui,20.68575464,-156.0783637,Haleakala,NP,Kipahulu Valley,,C,1/14/74,1974,N,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,2590,2206
"Hardy & Kaneshiro, 1968",limitata,Maui,20.69583956,-156.0848923,Haleakala,NP,ridge above Kipahulu Valley,,C,6/21/67,1967,N,,,,1,,,numbers unknown; locality uncertain,,grimshawi,orphnopeza,,,,,,,,,,,,772,2193
KYK database,limitata,Lanai,20.80096,-156.87191,Lanai Company,private,Paliakoae Gulch,,,11/30/67,1967,N,,,,,,,misspelled in database (and Carson 1969) as Paliakoa,,grimshawi,orphnopeza,,,,,,,,,,,,2596,2184
Price/Yew/Medeiros,limitata,Maui,20.80245,-156.25522,Waikamoi,,,,,24-Sep-19,,,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,,
Price/Yew/Medeiros,limitata,Maui,20.80245,-156.25522,Waikamoi,,,,,24-Sep-19,,,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,,
KYK database,limitata,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/21/70,1970,N,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,2581,2195
KYK database,limitata,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,10/9/71,1971,N,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,2584,2198
KYK database,limitata,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,,B,7/12/83,1983,N,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,2591,2207
KYK database,limitata,Maui,20.81053037,-156.2419391,EMI,private,"Waikamoi, Murphy/Kaneshiro Trail, Dry Site",,B,7/7/97,1997,Y,,,,,,,,,grimshawi,orphnopeza,,,,,,,,,,,,2594,2210
"Montgomery, 1975",limitata,Maui,20.81053037,-156.2419391,EMI,private,Waikamoi,4000,B,11/15/71,1971,N,Q52,,,1,,ex Clermontia stem,,,grimshawi,orphnopeza,,,,,,,,,,,,542,2199
